Time;Participant_ID;Stimulus_ID;Smell_detected;pleasant;present;light;engaging;unpleasant;absent;overpowering;detached;Acceptability;Odour_intensity;Hedonic_tone;Smelliness;Satisfaction;Appropriatness
2025/11/21 3:35:34 PM CET;P25;C07;mint;4;3;4;3;2;4;3;3;Just acceptable;Very week;0;Slightly smelly;Satisfied;Very
2025/11/21 3:42:22 PM CET;P25;C02;pepper mint, essential oil;4;4;3;4;2;3;4;3;Just acceptable;Strong;2;Smelly;Satisfied;Moderately
2025/11/21 4:58:00 PM CET;P15;C09;eucalyptus;4;4;3;4;2;2;2;3;Clearly acceptable;Distinct;1;Slightly smelly;Satisfied;Moderately
2025/11/21 5:07:07 PM CET;P15;C04;lavender, talcum;4;4;3;4;2;2;2;2;Clearly acceptable;Distinct;2;Smelly;Satisfied;Moderately
2025/11/21 5:15:28 PM CET;P15;C01;eucalyptus, thyme;4;4;2;3;2;2;3;3;Just acceptable;Distinct;1;Smelly;Satisfied;Slightly
2025/11/21 5:24:37 PM CET;P15;C02;eucalyptus;4;3;4;3;2;3;2;3;Clearly acceptable;Weak;2;Slightly smelly;Unsatisfied;Moderately
2025/11/21 5:31:56 PM CET;P15;C07;placebo;3;3;3;3;3;3;3;3;Just acceptable;Very week;0;Slightly smelly;Unsatisfied;Moderately
2025/11/26 4:50:01 PM CET;P35;C01;vix;4;5;2;4;2;1;3;2;Clearly acceptable;Very strong;3;Slightly smelly;Satisfied;Not at all
2025/11/26 4:58:58 PM CET;P35;C05;vix but less than before;3;4;5;2;3;2;3;4;Just acceptable;Distinct;0;Smelly;Satisfied;Moderately
2025/11/26 5:08:02 PM CET;P35;C04;vix but less than before;3;3;5;2;3;4;2;4;Just acceptable;Weak;0;Slightly smelly;Satisfied;Moderately
2025/11/26 5:21:50 PM CET;P35;C03;mint;5;5;1;4;1;1;4;1;Clearly acceptable;Very strong;3;Very smelly;Satisfied;Not at all
2025/11/27 3:35:14 PM CET;P34;C08;forest ;4;4;4;3;2;1;1;1;Clearly acceptable;Strong;3;Smelly;Satisfied;Very
2025/11/27 3:43:16 PM CET;P34;C02;orange;4;4;1;5;1;1;5;1;Clearly acceptable;Very strong;4 Very pleasant;Very smelly;Satisfied;Not at all
2025/11/27 3:52:30 PM CET;P34;C07;nothing;3;1;5;1;1;5;1;5;Clearly acceptable;No odour;0;Not smelly;Satisfied;Very
2025/11/27 4:01:43 PM CET;P34;C01;none detected;3;4;5;2;1;2;1;5;Clearly acceptable;Weak;1;Slightly smelly;Satisfied;Very
2025/11/27 4:08:54 PM CET;P34;C09;none detected;3;1;1;1;1;5;1;5;Clearly acceptable;No odour;0;Not smelly;Satisfied;Very
2025/11/27 4:22:13 PM CET;P34;C06;lemon/orange;4;4;1;5;1;1;4;1;Just acceptable;Very strong;3;Very smelly;Satisfied;Slightly
2025/11/27 4:28:52 PM CET;P34;C04;nothing;3;1;4;1;1;5;1;5;Just acceptable;No odour;0;Not smelly;Satisfied;Very
2025/11/27 4:36:02 PM CET;P34;C05;nothing;4;4;5;2;1;3;1;4;Just acceptable;Very week;1;Slightly smelly;Satisfied;Very
2025/11/27 4:43:24 PM CET;P34;C03;orange;3;4;4;3;2;2;2;4;Just acceptable;Distinct;2;Slightly smelly;Satisfied;Moderately
2025/11/28 11:09:43 AM CET;P12;C06;unsure;4;5;3;4;2;1;2;3;Clearly acceptable;Strong;1;Smelly;Satisfied;Very
2025/11/28 11:23:37 AM CET;P12;C03;artificial pine;3;3;2;3;2;2;2;2;Just acceptable;Very strong;1;Very smelly;Satisfied;Moderately
2025/11/28 11:34:24 AM CET;P12;C08;pine;4;4;4;3;2;3;2;2;Clearly acceptable;Weak;0;Slightly smelly;Satisfied;Very
2025/11/28 11:44:17 AM CET;P12;C04;don't know;3;3;2;2;2;2;2;3;Just acceptable;Very strong;1;Very smelly;Satisfied;Moderately
2025/11/28 12:09:03 PM CET;P12;C01;pine;3;4;2;3;2;2;2;3;Just acceptable;Strong;1;Smelly;Satisfied;Very
